rank,city,state
1,New York,New York
2,Los Angeles,California
3,Chicago,Illinois
4,Houston,Texas
5,Phoenix,Arizona
6,Philadelphia,Pennsylvania
7,San Antonio,Texas
8,San Diego,California
9,Dallas,Texas
10,San Jose,California
11,Austin,Texas
12,Jacksonville,Florida
13,Fort Worth,Texas
14,Columbus,Ohio
15,San Francisco,California
16,Charlotte,North Carolina
17,Indianapolis,Indiana
18,Seattle,Washington
19,Denver,Colorado
20,Washington,District of Columbia
21,Boston,Massachusetts
22,El Paso,Texas
23,Detroit,Michigan
24,Nashville,Tennessee
25,Portland,Oregon
26,Memphis,Tennessee
27,Oklahoma City,Oklahoma
28,Las Vegas,Nevada
29,Louisville,Kentucky
30,Baltimore,Maryland
31,Milwaukee,Wisconsin
32,Albuquerque,New Mexico
33,Tucson,Arizona
34,Fresno,California
35,Mesa,Arizona
36,Sacramento,California
37,Atlanta,Georgia
38,Kansas City,Missouri
39,Colorado Springs,Colorado
40,Miami,Florida
41,Raleigh,North Carolina
42,Omaha,Nebraska
43,Long Beach,California
44,Virginia Beach,Virginia
45,Oakland,California
46,Minneapolis,Minnesota
47,Tulsa,Oklahoma
48,Arlington,Texas
49,Tampa,Florida
50,New Orleans,Louisiana
51,Wichita,Kansas
52,Cleveland,Ohio
53,Bakersfield,California
54,Aurora,Colorado
55,Anaheim,California
56,Honolulu,Hawaii
57,Santa Ana,California
58,Riverside,California
59,Corpus Christi,Texas
60,Lexington,Kentucky
61,Stockton,California
62,Henderson,Nevada
63,Saint Paul,Minnesota
64,St. Louis,Missouri
65,Cincinnati,Ohio
66,Pittsburgh,Pennsylvania
67,Greensboro,North Carolina
68,Anchorage,Alaska
69,Plano,Texas
70,Lincoln,Nebraska
71,Orlando,Florida
72,Irvine,California
73,Newark,New Jersey
74,Toledo,Ohio
75,Durham,North Carolina
76,Chula Vista,California
77,Fort Wayne,Indiana
78,Jersey City,New Jersey
79,St. Petersburg,Florida
80,Laredo,Texas
81,Madison,Wisconsin
82,Chandler,Arizona
83,Buffalo,New York
84,Lubbock,Texas
85,Scottsdale,Arizona
86,Reno,Nevada
87,Glendale,Arizona
88,Gilbert,Arizona
89,Winstonâ€“Salem,North Carolina
90,North Las Vegas,Nevada
91,Norfolk,Virginia
92,Chesapeake,Virginia
93,Garland,Texas
94,Irving,Texas
95,Hialeah,Florida
96,Fremont,California
97,Boise,Idaho
98,Richmond,Virginia
99,Baton Rouge,Louisiana
100,Spokane,Washington
101,Des Moines,Iowa
102,Tacoma,Washington
103,San Bernardino,California
104,Modesto,California
105,Fontana,California
106,Santa Clarita,California
107,Birmingham,Alabama
108,Oxnard,California
109,Fayetteville,North Carolina
110,Moreno Valley,California
111,Rochester,New York
112,Glendale,California
113,Huntington Beach,California
114,Salt Lake City,Utah
115,Grand Rapids,Michigan
116,Amarillo,Texas
117,Yonkers,New York
118,Aurora,Illinois
119,Montgomery,Alabama
120,Akron,Ohio
121,Little Rock,Arkansas
122,Huntsville,Alabama
123,Augusta,Georgia
124,Port St. Lucie,Florida
125,Grand Prairie,Texas
126,Columbus,Georgia
127,Tallahassee,Florida
128,Overland Park,Kansas
129,Tempe,Arizona
130,McKinney,Texas
131,Mobile,Alabama
132,Cape Coral,Florida
133,Shreveport,Louisiana
134,Frisco,Texas
135,Knoxville,Tennessee
136,Worcester,Massachusetts
137,Brownsville,Texas
138,Vancouver,Washington
139,Fort Lauderdale,Florida
140,Sioux Falls,South Dakota
141,Ontario,California
142,Chattanooga,Tennessee
143,Providence,Rhode Island
144,Newport News,Virginia
145,Rancho Cucamonga,California
146,Santa Rosa,California
147,Oceanside,California
148,Salem,Oregon
149,Elk Grove,California
150,Garden Grove,California
151,Pembroke Pines,Florida
152,Peoria,Arizona
153,Eugene,Oregon
154,Corona,California
155,Cary,North Carolina
156,Springfield,Missouri
157,Fort Collins,Colorado
158,Jackson,Mississippi
159,Alexandria,Virginia
160,Hayward,California
161,Lancaster,California
162,Lakewood,Colorado
163,Clarksville,Tennessee
164,Palmdale,California
165,Salinas,California
166,Springfield,Massachusetts
167,Hollywood,Florida
168,Pasadena,Texas
169,Sunnyvale,California
170,Macon,Georgia
171,Kansas City,Kansas
172,Pomona,California
173,Escondido,California
174,Killeen,Texas
175,Naperville,Illinois
176,Joliet,Illinois
177,Bellevue,Washington
178,Rockford,Illinois
179,Savannah,Georgia
180,Paterson,New Jersey
181,Torrance,California
182,Bridgeport,Connecticut
183,McAllen,Texas
184,Mesquite,Texas
185,Syracuse,New York
186,Midland,Texas
187,Pasadena,California
188,Murfreesboro,Tennessee
189,Miramar,Florida
190,Dayton,Ohio
191,Fullerton,California
192,Olathe,Kansas
193,Orange,California
194,Thornton,Colorado
195,Roseville,California
196,Denton,Texas
197,Waco,Texas
198,Surprise,Arizona
199,Carrollton,Texas
200,West Valley City,Utah
201,Charleston,South Carolina
202,Warren,Michigan
203,Hampton,Virginia
204,Gainesville,Florida
205,Visalia,California
206,Coral Springs,Florida
207,Columbia,South Carolina
208,Cedar Rapids,Iowa
209,Sterling Heights,Michigan
210,New Haven,Connecticut
211,Stamford,Connecticut
212,Concord,California
213,Kent,Washington
214,Santa Clara,California
215,Elizabeth,New Jersey
216,Round Rock,Texas
217,Thousand Oaks,California
218,Lafayette,Louisiana
219,Athens,Georgia
220,Topeka,Kansas
221,Simi Valley,California
222,Fargo,North Dakota
223,Norman,Oklahoma
224,Columbia,Missouri
225,Abilene,Texas
226,Wilmington,North Carolina
227,Hartford,Connecticut
228,Victorville,California
229,Pearland,Texas
230,Vallejo,California
231,Ann Arbor,Michigan
232,Berkeley,California
233,Allentown,Pennsylvania
234,Richardson,Texas
235,Odessa,Texas
236,Arvada,Colorado
237,Cambridge,Massachusetts
238,Sugar Land,Texas
239,Beaumont,Texas
240,Lansing,Michigan
241,Evansville,Indiana
242,Rochester,Minnesota
243,Independence,Missouri
244,Fairfield,California
245,Provo,Utah
246,Clearwater,Florida
247,College Station,Texas
248,West Jordan,Utah
249,Carlsbad,California
250,El Monte,California
251,Murrieta,California
252,Temecula,California
253,Springfield,Illinois
254,Palm Bay,Florida
255,Costa Mesa,California
256,Westminster,Colorado
257,North Charleston,South Carolina
258,Miami Gardens,Florida
259,Manchester,New Hampshire
260,High Point,North Carolina
261,Downey,California
262,Clovis,California
263,Pompano Beach,Florida
264,Pueblo,Colorado
265,Elgin,Illinois
266,Lowell,Massachusetts
267,Antioch,California
268,West Palm Beach,Florida
269,Peoria,Illinois
270,Everett,Washington
271,Ventura,California
272,Centennial,Colorado
273,Lakeland,Florida
274,Gresham,Oregon
275,Richmond,California
276,Billings,Montana
277,Inglewood,California
278,Broken Arrow,Oklahoma
279,Sandy Springs,Georgia
280,Jurupa Valley,California
281,Hillsboro,Oregon
282,Waterbury,Connecticut
283,Santa Maria,California
284,Boulder,Colorado
285,Greeley,Colorado
286,Daly City,California
287,Meridian,Idaho
288,Lewisville,Texas
289,Davie,Florida
290,West Covina,California
291,League City,Texas
292,Tyler,Texas
293,Norwalk,California
294,San Mateo,California
295,Green Bay,Wisconsin
296,Wichita Falls,Texas
297,Sparks,Nevada
298,Lakewood,New Jersey
299,Burbank,California
300,Rialto,California
301,Allen,Texas
302,El Cajon,California
303,Las Cruces,New Mexico
304,Renton,Washington
305,Davenport,Iowa
306,South Bend,Indiana
307,Vista,California
308,Tuscaloosa,Alabama
309,Clinton,Michigan
310,Edison,New Jersey
311,Woodbridge,New Jersey
312,San Angelo,Texas
313,Kenosha,Wisconsin
314,Vacaville,California
